run_id,k_S,k_D,k_err,lambda_Td,final_S_hat,final_D_hat,final_option_space,final_action,final_K_constraint,final_B_capacity,final_Lambda_coupling,final_T_time,convergence_status,volume_ratio,final_alignment_score
dfd8a671-f697-4767-b3e9-5909bdec3ef2,0.05,0.05,0.01,0.001,0.6115695253911613,0.3251840374287422,0.2999999999999998,0.5,0.6000000000000001,0.5445,0.44999999999999996,0.9999999999999999,converging,0.0,0.010782988448085385
314d06d9-0c66-48bc-8867-5edda59c1313,0.05,0.05,0.01,0.025500000000000002,0.4868110269928663,0.3204264856400775,0.2999999999999998,0.5,0.6000000000000001,0.5445,0.44999999999999996,0.9999999999999999,converging,0.0,0.010573781275515127
d39c09ea-0036-4d36-98d6-a35173659e12,0.05,0.05,0.01,0.05,0.3716871964349525,0.3446609479416014,0.2999999999999998,0.5,0.6000000000000001,0.5445,0.44999999999999996,0.9999999999999999,converging,0.0,0.010196192390026542
d8c8f50a-8f4e-497f-9949-a18dd983632f,0.05,0.05,0.05500000000000001,0.001,0.5771246512942532,0.3283919883223606,0.2999999999999998,0.5,0.6000000000000001,0.5445,0.44999999999999996,0.9999999999999999,converging,0.0,0.010051785683307486
ebb3ca76-7e85-4dfd-911f-4295e67030f4,0.05,0.05,0.05500000000000001,0.025500000000000002,0.5549411735703871,0.32939135177075246,0.2999999999999998,0.5,0.6000000000000001,0.5445,0.44999999999999996,0.9999999999999999,converging,0.0,0.01028261003081621
b8f0d87f-cdad-45cf-ae33-b64987d700a5,0.05,0.05,0.05500000000000001,0.05,0.49095369594166444,0.3240122003113138,0.2999999999999998,0.5,0.6000000000000001,0.5445,0.44999999999999996,0.9999999999999999,converging,0.0,0.01011220277225299
76fdfe78-a759-4118-a683-d4420a858d57,0.05,0.05,0.1,0.001,0.5985754826503447,0.31532614876462234,0.2999999999999998,0.5,0.6000000000000001,0.5445,0.44999999999999996,0.9999999999999999,converging,0.0,0.010826468744239768
e39a691d-b885-4aa7-90e0-6846477e882d,0.05,0.05,0.1,0.025500000000000002,0.29705798850008686,0.34925148888534346,0.2999999999999998,0.5,0.6000000000000001,0.5445,0.44999999999999996,0.9999999999999999,converging,0.0,0.00930078888721355
49492934-a7fa-49c9-817f-7cf70b0c8e01,0.05,0.05,0.1,0.05,0.5384859762659233,0.3149290116721062,0.2999999999999998,0.5,0.6000000000000001,0.5445,0.44999999999999996,0.9999999999999999,converging,0.0,0.011219972372951616
4965d891-01c2-4164-a763-2c029a6b0ceb,0.05,0.1,0.01,0.001,0.6061269085236847,0.20825423469010268,0.5,0.5,0.6000000000000001,0.5445,0.44999999999999996,0.9999999999999999,converging,0.0,0.018944301483003946
2b808c71-3b8b-42b5-9945-b823ed1b9cf3,0.05,0.1,0.01,0.025500000000000002,0.4790126525118201,0.20758839637068968,0.5,0.5,0.6000000000000001,0.5445,0.44999999999999996,0.9999999999999999,converging,0.0,0.018551631830929755
c158d020-8554-4596-989c-e86c97347fa0,0.05,0.1,0.01,0.05,0.2679978818959275,0.2914812095142029,0.3799999999999999,0.5,0.6000000000000001,0.5445,0.44999999999999996,0.9999999999999999,converging,0.0,0.014412940340267022
8771e50d-0a0e-40a3-8b9f-24efb65a2e0a,0.05,0.1,0.05500000000000001,0.001,0.4263518051576259,0.24463857984741436,0.41999999999999993,0.5,0.6000000000000001,0.5445,0.44999999999999996,0.9999999999999999,converging,0.0,0.015830743591976
c2c42050-6a65-4ab6-85be-b59750c68a81,0.05,0.1,0.05500000000000001,0.025500000000000002,0.4184980236871917,0.21024567799652033,0.5,0.5,0.6000000000000001,0.5445,0.44999999999999996,0.9999999999999999,converging,0.0,0.018947724507074055
a7f3b173-a336-44de-a2c3-7090d08b80b0,0.05,0.1,0.05500000000000001,0.05,0.47229744088177295,0.2100613096294274,0.5,0.5,0.6000000000000001,0.5445,0.44999999999999996,0.9999999999999999,converging,0.0,0.01831396894283293
9f8a8481-b70a-478d-b7fe-17189d890e50,0.05,0.1,0.1,0.001,0.2656430767642736,0.32033117325185306,0.2999999999999998,0.5,0.6000000000000001,0.5445,0.44999999999999996,0.9999999999999999,converging,0.0,0.013274380984043354
2fe78d67-34ec-48e3-a008-06786ca53513,0.05,0.1,0.1,0.025500000000000002,0.26180406371199016,0.2549866752655825,0.45999999999999996,0.5,0.6000000000000001,0.5445,0.44999999999999996,0.9999999999999999,converging,0.0,0.01694094210961347
d8bf5a8d-f3dc-456e-aaa8-c6685b4a4a55,0.05,0.1,0.1,0.05,0.41644907647933055,0.2172740413561005,0.45999999999999996,0.5,0.6000000000000001,0.5445,0.44999999999999996,0.9999999999999999,converging,0.0,0.01791471883430148
27059859-b6a4-494a-92f8-81df747601b4,0.05,0.15,0.01,0.001,0.41286107925484195,0.13733538081433763,0.5800000000000001,0.7,0.52,0.5465000000000001,0.44999999999999996,0.9999999999999999,converging,0.0,0.025280479986346388
61e8f815-9a9d-466e-8236-f98817bec2f4,0.05,0.15,0.01,0.025500000000000002,0.48925169072280833,0.13512549818781103,0.5800000000000001,0.7,0.52,0.5465000000000001,0.44999999999999996,0.9999999999999999,converging,0.0,0.0253167106280279
47e93cec-e53e-43f4-9498-c3474ad8b667,0.05,0.15,0.01,0.05,0.2780301697065718,0.21846230496437394,0.5800000000000001,0.7,0.52,0.5465000000000001,0.44999999999999996,0.9999999999999999,converging,0.0,0.021909765535288436
7e11ed9e-637f-412f-b307-f8f4440e7224,0.05,0.15,0.05500000000000001,0.001,0.24529992964876468,0.2337018310518531,0.5800000000000001,0.7,0.52,0.5465000000000001,0.44999999999999996,0.9999999999999999,converging,0.0,0.02182354518880107
5be90729-a29a-425d-a6cd-a811907693fb,0.05,0.15,0.05500000000000001,0.025500000000000002,0.33553947025494,0.1782585804277969,0.54,0.7,0.56,0.5450999999999999,0.44999999999999996,0.9999999999999999,converging,0.0,0.022794449515475906
7d5d9caf-b4b3-4aed-9988-8943560ffcc0,0.05,0.15,0.05500000000000001,0.05,0.5157767463458071,0.12709288313518102,0.5800000000000001,0.7,0.52,0.5465000000000001,0.44999999999999996,0.9999999999999999,converging,0.0,0.02494069627274478
a9e80e26-937c-4e9b-ada8-8de98de24199,0.05,0.15,0.1,0.001,0.49142099979027154,0.13295236348283374,0.5800000000000001,0.7,0.52,0.5465000000000001,0.44999999999999996,0.9999999999999999,converging,0.0,0.02474634889023167
d0b0e8c9-f9b8-4f63-98ae-bc40fabfd828,0.05,0.15,0.1,0.025500000000000002,0.539378003420067,0.12578649999685101,0.5800000000000001,0.7,0.52,0.5465000000000001,0.44999999999999996,0.9999999999999999,converging,0.0,0.024758038922805113
32a7d51e-8a00-4580-8a2b-2477a4f82616,0.05,0.15,0.1,0.05,0.6560264417840734,0.163842371863389,0.5800000000000001,0.7,0.52,0.5465000000000001,0.44999999999999996,0.9999999999999999,converging,0.0,0.024483154157140738
81e59f59-fb46-4c33-a5e5-693170f23c86,0.1,0.05,0.01,0.001,0.2917076099605519,0.33629012953649834,0.2999999999999998,0.5,0.6000000000000001,0.5445,0.44999999999999996,0.9999999999999999,converging,0.0,0.010608368560318592
c0d8fdc4-bb0c-4443-b79c-00a8bc8c943c,0.1,0.05,0.01,0.025500000000000002,0.44456829463095476,0.3183097424138587,0.2999999999999998,0.5,0.6000000000000001,0.5445,0.44999999999999996,0.9999999999999999,converging,0.0,0.010593414374129834
47108baa-0a12-42a6-b28e-d5fc9c85297e,0.1,0.05,0.01,0.05,0.4034474669541897,0.3275056680120378,0.2999999999999998,0.5,0.6000000000000001,0.5445,0.44999999999999996,0.9999999999999999,converging,0.0,0.0104400985144544
db48940e-629b-41fc-a284-75924afc0acb,0.1,0.05,0.05500000000000001,0.001,0.5504786041474924,0.34126914390911856,0.2999999999999998,0.5,0.6000000000000001,0.5445,0.44999999999999996,0.9999999999999999,converging,0.0,0.008833383190901588
9dabdca3-a142-42df-8178-562997e59503,0.1,0.05,0.05500000000000001,0.025500000000000002,0.5878848327078536,0.3215173285946462,0.2999999999999998,0.5,0.6000000000000001,0.5445,0.44999999999999996,0.9999999999999999,converging,0.0,0.010987762593542406
4147021e-4327-4e58-963c-a6b1e1a43073,0.1,0.05,0.05500000000000001,0.05,0.6596338686655568,0.329240282566624,0.2999999999999998,0.5,0.6000000000000001,0.5445,0.44999999999999996,0.9999999999999999,converging,0.0,0.010582725889107301
cb36a6ef-d37a-4088-ac91-511b9014ed97,0.1,0.05,0.1,0.001,0.4824818993716792,0.31959132362866066,0.2999999999999998,0.5,0.6000000000000001,0.5445,0.44999999999999996,0.9999999999999999,converging,0.0,0.010762635640137288
088975f7-7470-44e6-91ba-e3a5c66f404d,0.1,0.05,0.1,0.025500000000000002,0.44511163919189506,0.31689060012310216,0.2999999999999998,0.5,0.6000000000000001,0.5445,0.44999999999999996,0.9999999999999999,converging,0.0,0.011030582971871811
60602439-50b7-4350-be4a-da4e8fdd1a55,0.1,0.05,0.1,0.05,0.5149263764005139,0.31344832308039744,0.2999999999999998,0.5,0.6000000000000001,0.5445,0.44999999999999996,0.9999999999999999,converging,0.0,0.01117301347321612
63185edc-ecfe-4d1b-abd0-199c3e96f532,0.1,0.1,0.01,0.001,0.536329969402469,0.23626096598441257,0.41999999999999993,0.5,0.6000000000000001,0.5445,0.44999999999999996,0.9999999999999999,converging,0.0,0.015013237618576633
0841431d-c9e9-49a6-a1b2-19a7a57199e3,0.1,0.1,0.01,0.025500000000000002,0.44884121770402347,0.2140882675232565,0.45999999999999996,0.5,0.6000000000000001,0.5445,0.44999999999999996,0.9999999999999999,converging,0.0,0.017436760176760376
e9721b89-d5bf-4087-b6ad-eb59fe349524,0.1,0.1,0.01,0.05,0.366819985118107,0.2865346151605649,0.33999999999999986,0.5,0.6000000000000001,0.5445,0.44999999999999996,0.9999999999999999,converging,0.0,0.014612529285669876
9058007e-f2ad-42c1-ac33-96a167ea37fd,0.1,0.1,0.05500000000000001,0.001,0.6711517604584498,0.22377705074976745,0.5,0.5,0.6000000000000001,0.5445,0.44999999999999996,0.9999999999999999,converging,0.0,0.018394710535212664
1b8c735b-9bf8-46bd-8d09-7057b7708444,0.1,0.1,0.05500000000000001,0.025500000000000002,0.487554304733963,0.21538522459086132,0.5,0.5,0.6000000000000001,0.5445,0.44999999999999996,0.9999999999999999,converging,0.0,0.018247450378845825
e0ea23f9-79f6-42fa-97c9-39ae758648e6,0.1,0.1,0.05500000000000001,0.05,0.2859837550225146,0.24770881687676757,0.5,0.5,0.6000000000000001,0.5445,0.44999999999999996,0.9999999999999999,converging,0.0,0.01790224617605139
ffa62607-def1-4869-a9df-d21954512ee7,0.1,0.1,0.1,0.001,0.48350934253093786,0.22588938654734897,0.45999999999999996,0.5,0.6000000000000001,0.5445,0.44999999999999996,0.9999999999999999,converging,0.0,0.017174740192567622
4576454d-b80b-4d48-933b-f07bd03c2438,0.1,0.1,0.1,0.025500000000000002,0.5239877242992163,0.20763095544188645,0.5,0.5,0.6000000000000001,0.5445,0.44999999999999996,0.9999999999999999,converging,0.0,0.018612892717468757
f4515c8a-a920-4c02-afb8-45f08cabfe8c,0.1,0.1,0.1,0.05,0.6176143303209518,0.2305698457659726,0.5,0.5,0.6000000000000001,0.5445,0.44999999999999996,0.9999999999999999,converging,0.0,0.01804031984395806
52d41b87-a28e-4750-af69-a472dc039c3a,0.1,0.15,0.01,0.001,0.5619891378325123,0.20532946788063558,0.54,0.7,0.56,0.5450999999999999,0.44999999999999996,0.9999999999999999,converging,0.0,0.020169288074537623
c6c2eeb2-8982-4992-b1b0-215cd929dbad,0.1,0.15,0.01,0.025500000000000002,0.3390962212220903,0.19046026593160154,0.54,0.7,0.56,0.5450999999999999,0.44999999999999996,0.9999999999999999,converging,0.0,0.02206450125022366
1614014c-8567-4ffb-839e-9754ee7b6284,0.1,0.15,0.01,0.05,0.5642177919372758,0.13872439404561346,0.5800000000000001,0.7,0.52,0.5465000000000001,0.44999999999999996,0.9999999999999999,converging,0.0,0.02482787029995382
461904b9-4fe3-40da-8bfe-cc854762ce51,0.1,0.15,0.05500000000000001,0.001,0.5745699258206121,0.1509269273041115,0.54,0.7,0.56,0.5450999999999999,0.44999999999999996,0.9999999999999999,converging,0.0,0.023576712615829068
1a6423c7-be31-49e4-8892-56f3722f5ed4,0.1,0.15,0.05500000000000001,0.025500000000000002,0.4270468583390675,0.19521694044105928,0.5800000000000001,0.7,0.52,0.5465000000000001,0.44999999999999996,0.9999999999999999,converging,0.0,0.021816035591930075
19e88b2c-495a-4b7d-a136-98cbd6e3243d,0.1,0.15,0.05500000000000001,0.05,0.6401092940875921,0.23489421778988281,0.41999999999999993,0.5,0.6000000000000001,0.5445,0.44999999999999996,0.9999999999999999,converging,0.0,0.017324752678352554
261f4f0b-8f4d-4380-acbc-0ae391cc43cf,0.1,0.15,0.1,0.001,0.46674182984966395,0.14693192516153408,0.54,0.7,0.56,0.5450999999999999,0.44999999999999996,0.9999999999999999,converging,0.0,0.023493848211938742
f5a1e748-0d59-40ea-a746-6034c9b4f7ee,0.1,0.15,0.1,0.025500000000000002,0.6279428259843808,0.16579149690432285,0.5800000000000001,0.7,0.52,0.5465000000000001,0.44999999999999996,0.9999999999999999,converging,0.0,0.024377312105562488
